CpuName,Manufacturer,SingleScore,MultiScore,Cores,Threads,BaseClock,TurboClock,Type,Categories,Price,SubCategories
Core i7 7800X,Intel,983,7445,6,12,3.5,4,Desktop,Desktop ,174,"Design-Engineering & 3D Modeling, Simulation, Machine Learning & AI & Video Editing"
Core i7 6850K,Intel,1004,7422,6,12,3.6,3.8,Desktop,Desktop ,125,Very Capable (all categories) (older generation)
Core i5 9600KF,Intel,1277,7403,6,6,3.7,4.6,Desktop,Desktop ,159.9,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Ryzen 5 2600,AMD,1016,7173,6,12,3.4,3.9,Desktop,Desktop ,77,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Core i7 8700,Intel,1227,7160,6,12,3.2,4.6,Desktop,Desktop ,140,Very Capable (all categories) (older generation)
Core i5 10400T,Intel,998,6883,6,12,2,3.6,Desktop,Desktop ,182,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Core i7 6800K,Intel,966,6854,6,12,3.4,3.6,Desktop,Desktop ,133,Very Capable (all categories) (older generation)
Ryzen 3 3300X,AMD,1307,6845,4,8,3.8,4.3,Desktop,Desktop ,146,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i5 8600K,Intel,1261,6814,6,6,3.6,4.3,Desktop,Desktop ,118,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Core i5 9600K,Intel,1192,6708,6,6,3.7,4.6,Desktop,Desktop ,201,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Ryzen 5 1600X,AMD,949,6541,6,12,3.6,4,Desktop,Desktop ,138.8,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI)"
Core i3 10320,Intel,1312,6490,4,8,3.8,4.6,Desktop,Desktop ,139,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing) (budget CPU)"
Core i5 9400F,Intel,1130,6284,6,6,2.9,4.1,Desktop,Desktop ,149,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Ryzen 5 1600,AMD,903,6282,6,12,3.2,3.6,Desktop,Desktop ,138.84,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Ryzen 3 Pro 4350G,AMD,1178,6093,4,8,3.8,4,Desktop,Desktop ,120,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i5 9500,Intel,1142,6091,6,6,3,4.4,Desktop,Desktop ,159,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i3 10300,Intel,1248,6051,4,8,3.7,4.4,Desktop,Desktop ,100,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i5 8400,Intel,1039,5946,6,6,2.8,4,Desktop,Desktop ,142," Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i7 7700K,Intel,1235,5940,4,8,4.2,4.5,Desktop,Desktop ,159,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing, Simulation, Machine Learning & AI) (older generation)"
Ryzen 3 4300GE,AMD,1215,5798,4,8,3.5,4,Desktop,Desktop ,125,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Core i3 10105F,Intel,1172,5776,4,8,3.7,4.4,Desktop,Desktop ,74,"Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
Ryzen 3 3100,AMD,1105,5423,4,8,3.6,3.9,Desktop,Ryzen 3 3100,71.65,"Very Capable (Gaming), Good (Design-Engineering & 3D Modeling, Video Editing)"
