name,price,rpm,noise_level,color,size
Fractal Design Lumen S28 V2,129.51,"500,1700","10,35.5",Black,280.0
Alphacool Eisbaer Aurora 420,189.95,"600,1500",,Black,420.0
Gelid Solutions Liquid 360,109.99,"750,1800",29.6,Black,360.0
ID-COOLING SL240,124.99,"500,2000",29.9,Black,240.0
Asus ROG RYUO III 240 ARGB WHITE EDITION,187.8,2200,36.45,White,240.0
Cooler Master MasterLiquid 120L Core,64.98,"650,1750",27.2,Black,120.0
Gigabyte AORUS WATERFORCE X,179.99,2300,"8.06,44.4",Black,280.0
Thermaltake TH420 ARGB Sync,185.23,"500,1800",34.7,Black,420.0
Enermax Liqmax III 120 HF,59.99,"500,2000","14,32",Black,120.0
Thermaltake TH240 ARGB Sync,118.4,1500,28.2,White,240.0
Cooler Master MasterLiquid 240L Core,143.34,"650,1750",27.2,Black,240.0
Antec VORTEX 240,99.98,"600,2000",31.24,Black,240.0
MSI MAG CORELIQUID R,140.76,"500,1800","14.8,33.28",Black,280.0
Enermax AQUAFUSION ADV 240,74.98,"500,2000","15,32.6",Black,240.0
TEAMGROUP SIREN GD360E,104.99,"600,2200","14.3,35.6",White,360.0
Enermax AQUAFUSION ADV,99.99,"500,2000","17,32.6",White,240.0
Thermaltake TOUGHLIQUID Ultra RGB,279.99,"500,2000",30.7,Black,420.0
Enermax LIQMAXFLO SR 120,92.87,"500,1800",23.46,Black,120.0
Thermaltake TH120 ARGB Sync,73.4,1500,28.2,White,120.0
Deepcool LS320,89.99,"500,2250",32.9,Black,120.0
ENDORFY Navis F240,121.55,"250,1800",,Black,240.0
Yeston zeaginal Sakura,179.0,"900,1800",30,White,360.0
Thermaltake TH420 V2 ARGB Sync,128.99,"500,1800",34.7,White,420.0
Thermaltake TH280 V2 Ultra ARGB Sync,152.09,"500,2000",34.7,Black,280.0
Enermax AQUAFUSION ADV,109.99,"500,2000","15,32.6",White,360.0
Deepcool LS320 WH,69.99,"500,2250",32.9,White,120.0
EK AIO Elite 280 D-RGB,103.5,"550,2200",36.4,Black,280.0
Asus ROG Ryujin 240 RGB AIO,185.49,"450,2000",29.7,Black,240.0
Silverstone IceMyst 420,162.99,"400,1750","13.3,30.8",Silver / Black,420.0
MSI MAG CORELIQUID C280,184.91,"500,1800","14.8,33.28",Black,280.0
Thermaltake TH240 V2 Ultra ARGB Sync,134.99,"500,1800",25.8,White,240.0
TEAMGROUP SIREN GD360E,104.99,"600,2200","14.3,35.6",Black,360.0
Thermaltake TH420 ARGB Sync,127.59,"500,1800",34.7,White,420.0
Asus ROG STRIX LC 240 RGB White Edition,184.99,"800,2500",37.6,White,240.0
Enermax LIQTECH TR4 II 360,202.52,"500,2300","14,28",Black,360.0
Fractal Design Celsius+ S24 Prisma PWM ARGB,187.79,"500,2000",32.7,Black,240.0
Thermaltake Floe DX RGB 360 TT Premium Edition,278.62,"500,1500","19,23.9",Black / Gray,360.0
Fractal Design Celsius+ S36 Prisma PWM ARGB,242.97,"500,2000",32.7,Black,360.0
Antec Symphony ARGB,102.5,"800,1600","20,35",Black,240.0
Thermaltake TH280 V2 Ultra ARGB Sync,152.09,"500,2000",34.7,White,280.0
Antec Symphony ARGB,157.25,"800,1600","20,35",Black,360.0
Enermax LIQMAXFLO SR 360,89.99,"500,1800",23.46,Black,360.0
Corsair H75 2018,360.0,1900,31,Black,120.0
Thermaltake Water 3.0 240 ARGB Sync,176.54,"500,1500",25.8,Black,240.0
Phanteks GLACIER ONE 240D30,262.93,"250,2000",30.2,White,240.0
Thermaltake TOUGHLIQUID ARGB,139.99,"500,2000",22.3,Black,360.0
Gelid Solutions Liquid 240,84.98,"750,1800",29.6,Black,240.0
Alphacool Eisbaer Aurora 360,154.95,"800,2000",,Black,360.0
Cooler Master MasterLiquid ML360 Mirror,249.0,"650,1800","8,27",Black,360.0
ID-COOLING DASHFLOW XT LITE,99.99,"500,2000",29.85,Black,360.0
Enermax LIQMAXFLO SR 240,69.99,"500,1800",23.46,Black,240.0
Azza CUBE 240,79.98,"500,2000",34,Black,240.0
be quiet! Silent Loop 2 120,150.83,2200,"16.6,36.4",Black,120.0
Asus ROG STRIX LC 120 RGB,199.27,"800,2500",37.6,Black,120.0
Alphacool Eisbaer 420,150.7,1100,29.4,Black / Blue,420.0
Thermaltake TOUGHLIQUID Ultra,121.66,"500,2500",28.1,Black,240.0
TEAMGROUP SIREN GD240E,90.99,"600,2200","14.3,35.6",White,240.0
Asus ROG RYUO 240 RGB,189.98,"800,2500",37,Black,240.0
BitFenix Cube ARGB,85.57,2000,34,Black,360.0
Iceberg Thermal IceFLOE OASIS 360,89.99,"200,2200",28.9,Black,360.0
ADATA XPG LEVANTE 360,159.99,"600,2000",34,Black,360.0
Enermax LIQMAXFLO 360,107.99,"500,1800",23.46,Black,360.0
ARCTIC Liquid Freezer II 240 RGB,126.99,"200,1800",22.5,Black / Gray,240.0
Geometric Future Eskimo Junior 36,119.9,2000,29,Black,360.0
Silverstone IceMyst 240,109.99,"500,2200","12.1,33.1",Silver / Black,240.0
Asus ROG STRIX LC 240 RGB,169.99,"800,2500",37.6,Black,240.0
Alphacool Eisbaer 360,139.95,"550,1700",29,Black,360.0
Gigabyte AORUS WATERFORCE X II 240AORUS WATERFORCE X II 240,239.99,"800,2400","12,37.5",Black,240.0
Yeston zeaginal Sakura,99.0,"900,1800",30,White,240.0
YEYIAN VATN ARGB 360,109.99,"800,2000","25,32",Black,360.0
ARCTIC Liquid Freezer II 240 RGB,125.24,"200,1800",22.5,Black,240.0
Enermax LIQMAX III RGB,69.98,"500,1600","14,27",Black,240.0
